Men,Women,VotingAgeCitizen,IncomePerCap,Poverty,Professional,Service,Unemployment,Hispanic,White,Black,Asian,Native,Pacific,Income,Employed
2754,2540,4028,20368,13.1,25.5,11.6,6.4,0.9,96.6,0.5,0.6,0.2,0.0,48853,2165
3022,2631,3133,19353,20.9,18.7,29.4,8.1,47.2,41.1,5.6,0.9,0.0,0.0,43432,2673
1767,1949,2182,11307,50.2,16.8,14.4,8.2,58.5,6.4,27.5,4.8,0.0,0.0,27212,1346
1893,2021,3066,29395,4.2,41.1,14.2,3.7,3.5,94.3,0.0,0.3,0.2,0.0,61417,2060
1933,1991,3137,25913,10.7,26.3,13.5,10.6,0.6,97.8,0.7,0.0,0.0,0.0,50222,1706
1846,1830,2931,29115,8.7,30.0,12.7,7.2,16.9,82.1,0.3,0.4,0.0,0.0,53438,1547
2535,2476,3818,105488,7.6,74.8,7.8,3.9,15.2,64.3,1.4,12.0,0.1,0.0,153912,3833
293,424,433,15143,48.8,32.6,39.5,12.3,1.5,19.7,72.8,2.5,0.0,0.0,20268,291
2213,2213,3877,53513,6.1,57.7,13.3,1.4,1.6,92.0,3.9,0.0,0.7,0.0,79672,1750
3428,3716,5656,25936,6.2,31.1,22.1,13.5,0.7,9.1,88.4,1.2,0.0,0.0,52900,3109
1378,1736,2429,46623,6.1,48.2,14.9,3.5,3.7,88.4,1.7,2.2,0.0,0.0,74688,1808
1127,1143,1558,38292,10.2,44.6,14.4,9.3,12.4,66.3,1.9,18.1,0.0,0.0,79620,1184
3467,3720,3936,57394,3.3,72.9,6.9,6.3,5.6,40.4,0.2,51.5,0.2,0.0,155400,3551
2220,2137,3444,22424,19.8,30.5,17.3,4.8,0.2,95.9,2.8,0.0,0.0,0.0,38801,1611
1670,2005,2884,44955,11.0,51.5,18.6,0.6,13.0,66.1,10.6,8.6,0.0,0.2,63526,1845
1792,1893,2181,18845,20.3,21.4,29.3,8.6,77.9,7.4,2.1,12.0,0.0,0.0,49606,1653
3085,1973,3906,40042,7.2,35.1,23.2,4.3,6.3,20.6,5.8,46.5,0.0,3.0,63391,2442
2237,2263,3571,40877,6.2,35.8,17.7,3.0,1.4,95.7,0.5,1.1,0.0,0.0,60242,2342
2088,2103,3121,46731,7.4,55.1,16.8,7.5,10.4,73.1,4.8,10.7,0.0,0.0,115660,1898
2018,2284,3097,45509,5.8,62.8,6.5,5.2,22.4,45.2,4.3,23.1,0.0,0.0,120341,2117
2931,3159,4648,58418,6.8,60.3,8.2,3.0,3.2,92.7,1.2,1.7,0.0,0.0,103558,2537
1288,803,1617,34336,18.2,35.2,16.8,6.1,24.8,59.7,5.5,2.5,5.9,0.0,48820,1343
2005,1696,2853,20888,22.9,23.7,10.2,9.0,6.8,87.9,2.4,0.0,1.2,0.0,38235,1448
963,1043,1509,31339,10.0,34.1,13.2,5.3,6.1,93.0,0.1,0.0,0.0,0.0,59583,996
1972,2149,3080,47492,9.8,29.0,23.7,5.4,1.7,92.4,2.5,3.0,0.0,0.0,44267,1958
3008,3439,4120,28075,10.5,34.4,26.7,5.3,17.8,59.5,0.8,14.8,0.0,0.3,72815,3413
2518,2690,4290,29380,13.0,27.8,18.4,7.7,1.7,90.7,0.1,0.8,1.4,0.0,54535,2427
1730,1702,2547,19478,19.1,28.6,23.1,8.3,4.1,65.5,0.5,0.9,21.2,0.1,38182,1275
1479,1401,2152,20838,11.5,26.5,19.6,4.9,2.6,94.6,0.7,0.2,0.0,0.0,42619,1329
1474,1421,2411,33068,14.3,49.7,14.4,3.5,11.1,65.9,15.1,0.0,0.7,0.0,50658,1867
1258,1321,2428,70082,11.7,64.5,9.5,14.3,0.3,98.3,0.0,0.7,0.0,0.0,81036,527
1656,1891,2142,24240,14.5,21.7,20.1,7.3,51.2,37.4,1.5,9.2,0.0,0.0,54167,1876
932,1142,1513,10941,45.1,17.2,33.5,12.5,0.8,2.4,95.7,0.0,0.0,0.0,20833,541
2502,2512,3583,25609,13.4,36.3,21.9,9.9,35.6,45.8,5.4,8.5,1.6,0.0,69178,2237
1929,1948,2613,32838,7.4,35.9,25.7,10.8,37.3,29.1,1.7,30.1,0.0,0.0,88250,2131
2565,2770,3319,15204,23.3,19.7,25.5,7.6,3.7,43.1,38.0,13.6,0.0,0.0,32615,1970
2399,3055,4077,32549,15.1,51.4,9.3,2.5,1.1,73.6,16.9,3.7,0.0,0.0,55673,2675
1703,2118,2213,14797,36.4,16.6,33.7,9.5,72.0,0.3,27.7,0.0,0.0,0.0,31638,1337
2065,1856,2849,25201,15.6,28.6,15.3,10.5,21.4,68.7,1.2,1.2,2.8,0.0,56436,1795
2455,2612,2333,14174,24.4,15.7,23.6,5.5,96.8,1.2,0.0,1.8,0.2,0.0,44239,2217
1865,2170,3343,8180,56.6,12.3,22.8,21.4,96.2,3.1,0.0,0.0,0.0,0.0,15057,1125
2719,2054,3865,42382,4.9,49.9,10.0,7.5,5.1,79.2,8.0,4.5,0.3,0.0,82283,1949
2385,2650,3765,28208,7.1,36.5,15.5,5.2,2.3,89.3,1.4,1.1,3.1,0.0,53623,2702
1700,1623,2452,27780,11.9,31.7,17.9,8.5,6.5,73.8,8.4,9.3,0.2,0.0,58136,1573
2555,2858,3845,17111,28.9,27.7,21.8,7.2,0.8,64.0,28.2,2.7,0.0,0.0,31107,1771
5942,6176,8238,45716,2.4,56.0,12.0,6.6,6.0,86.4,4.4,2.6,0.1,0.0,112250,5915
2760,2856,3528,20997,23.0,22.2,17.4,10.2,51.8,44.0,1.2,1.2,0.2,0.0,43625,2411
705,514,970,12301,37.3,20.2,18.6,42.9,4.1,29.5,66.4,0.0,0.0,0.0,13456,242
1599,1788,2406,118113,3.5,68.6,5.5,2.4,3.7,95.7,0.3,0.0,0.0,0.0,150441,1558
2401,2468,3622,27540,11.4,30.8,16.9,5.0,0.6,97.6,0.5,0.7,0.1,0.0,59784,2423
1458,1629,2326,29747,4.5,41.1,11.4,1.7,3.0,90.1,5.2,0.0,0.3,0.0,66791,1530
1592,1599,2550,30826,3.5,39.7,11.7,5.5,0.5,87.4,12.1,0.0,0.0,0.0,69492,1485
622,647,941,50316,2.9,79.8,5.1,0.0,3.0,84.9,2.2,4.0,1.3,0.0,94519,506
4487,4093,6574,40263,4.9,42.9,8.1,5.9,20.4,74.6,1.4,1.7,0.0,0.0,109103,4899
3305,2868,3347,14483,35.2,5.7,25.1,16.3,68.8,27.5,2.9,0.0,0.2,0.2,31593,1952
1167,1060,1924,26172,14.5,30.9,15.3,3.7,1.0,95.5,2.8,0.0,0.0,0.0,43571,1121
2113,2133,3097,20495,22.7,23.1,13.8,10.3,0.4,98.5,0.9,0.0,0.0,0.0,41875,1616
1263,1169,2154,65758,13.3,64.7,12.2,3.3,5.7,77.8,6.4,9.2,0.6,0.0,46888,1815
2194,2761,3680,16034,33.3,31.9,20.3,12.8,93.3,5.1,0.3,1.3,0.0,0.0,26335,1873
2136,1933,3001,25359,8.6,24.5,11.4,3.3,1.4,91.8,2.8,0.1,1.0,0.0,55833,1920
2674,3160,3818,23818,11.4,25.8,23.6,3.0,25.6,47.0,21.9,3.4,0.0,0.0,57984,3099
3719,3064,5864,11398,66.4,18.4,36.3,12.0,9.7,70.8,8.4,1.2,0.6,0.4,19983,3681
3262,3408,4445,22502,22.4,35.4,26.1,7.9,33.4,18.0,11.6,36.5,0.0,0.5,38400,3018
4734,5056,6895,26068,9.4,26.3,13.1,5.6,1.8,94.1,2.3,0.0,0.0,0.0,65296,4818
5198,5774,7284,29274,11.4,46.3,18.2,5.7,44.5,40.2,3.9,6.6,0.5,0.7,64746,4585
2126,2081,2512,20110,15.5,27.7,38.8,6.0,64.7,6.2,27.1,1.4,0.0,0.0,43243,2130
2084,2369,3405,33891,11.3,46.5,16.3,4.2,11.3,72.5,4.6,9.4,0.0,0.0,49276,2128
1966,1936,2189,18846,17.0,21.8,14.5,7.0,46.3,45.7,2.7,4.1,0.0,0.0,46250,1646
2953,3080,4465,36451,8.2,48.5,11.9,3.4,14.2,76.9,4.2,1.3,0.0,0.0,64913,3095
1337,1424,2574,22882,18.6,18.0,30.5,5.0,1.6,73.1,24.8,0.0,0.0,0.0,40149,1104
3248,3665,5154,20692,26.3,27.1,16.1,7.2,12.8,47.4,38.3,0.1,0.0,0.0,40236,2982
1811,1705,2242,19699,26.2,25.7,20.5,17.1,69.1,23.4,1.3,0.9,0.1,0.0,37661,1100
1411,1437,1855,27658,12.4,31.4,28.3,7.9,65.8,11.6,4.8,16.8,0.0,0.0,78359,1567
766,906,1351,34749,10.8,48.9,13.7,4.3,5.9,87.7,2.5,3.3,0.0,0.0,57396,738
1026,1386,1671,23295,21.4,38.3,21.1,6.4,22.5,67.3,8.2,1.0,0.6,0.0,51473,1032
726,851,1184,26091,18.5,38.4,24.5,8.2,62.1,34.2,1.0,0.0,0.0,0.0,60600,714
1886,1890,2921,83001,7.8,68.7,4.3,1.6,21.8,61.9,3.3,10.4,0.0,0.0,85471,2692
1358,1402,1609,17492,17.6,20.4,9.0,4.7,38.1,56.0,5.5,0.0,0.0,0.0,36023,1023
1090,1110,1008,13192,27.8,11.8,18.0,5.7,56.1,32.6,4.4,2.0,2.2,0.0,32188,898
2976,3376,4785,45120,12.5,41.2,16.0,6.9,5.3,73.1,6.4,5.8,1.1,0.0,65179,3100
1136,1108,1563,44687,5.4,29.9,16.8,6.3,24.1,58.0,3.1,12.2,0.0,0.0,109028,1259
883,757,1241,20727,18.2,20.0,18.1,4.5,0.5,80.7,17.4,0.0,1.3,0.0,33839,530
2143,2171,2877,27642,2.8,32.1,14.7,3.9,28.4,67.4,0.6,0.4,0.0,0.0,67851,2455
1855,2065,2143,17186,34.7,22.5,29.7,3.5,36.7,11.8,42.9,7.3,0.0,0.0,28142,1616
1604,1365,1854,14540,43.6,11.4,44.8,3.6,24.7,68.6,3.0,1.4,0.6,0.0,24091,1262
4548,6653,7227,20529,23.2,24.8,20.4,12.0,10.7,26.7,58.8,0.6,0.2,0.0,37432,4995
996,1399,1873,12312,40.8,22.6,31.5,25.5,0.0,5.0,93.2,0.0,0.0,0.3,15288,689
1481,1291,1754,18709,28.2,18.3,18.7,8.0,13.1,74.0,6.8,2.2,0.0,0.0,40495,1180
1338,1224,1985,22170,46.9,24.3,27.6,15.1,1.1,5.7,90.0,0.9,1.5,0.0,19093,936
3324,3489,4804,42147,10.0,43.8,18.1,3.8,21.6,51.4,4.3,16.3,0.0,1.4,117844,3830
715,636,1052,21340,27.4,23.3,31.7,11.0,18.9,36.4,2.6,2.2,35.2,0.0,29643,420
1926,2362,2963,45740,14.7,60.7,9.2,3.8,6.4,16.8,0.2,74.9,0.5,0.0,103250,1901
4310,4632,5906,19170,9.8,26.3,21.7,5.1,17.5,54.6,24.4,0.7,0.5,0.0,47806,3727
960,1012,1465,18023,30.9,21.7,34.1,8.9,0.3,3.8,95.2,0.0,0.0,0.0,36184,778
1445,1521,2097,17074,24.8,19.3,23.4,12.5,8.0,47.2,41.4,0.7,0.1,0.0,38333,1152
6539,2671,7763,12614,28.4,22.4,31.9,18.2,8.3,49.7,39.5,0.1,0.6,0.0,32301,1986
2622,2267,3073,13817,38.4,16.1,22.5,13.4,19.0,11.6,66.6,1.2,0.3,0.0,31286,1798
1131,1045,1947,30206,14.8,28.5,14.6,15.7,0.0,69.2,30.4,0.0,0.5,0.0,55052,478
2018,2603,3617,44390,14.0,56.4,14.5,8.4,2.4,94.2,1.6,0.8,0.0,0.0,76250,2615
2255,2529,3545,19841,28.1,19.1,16.8,9.5,35.1,54.9,4.5,4.9,0.2,0.0,39239,2298
2768,3111,2966,25091,28.7,36.9,32.9,7.5,59.8,18.5,14.5,6.1,0.0,0.0,54972,2776
1774,1674,2560,43048,1.9,47.6,13.6,4.6,2.0,77.0,13.3,4.0,0.0,0.0,110104,1945
1298,1704,2177,15989,31.1,19.2,24.2,30.0,38.3,51.0,4.5,0.5,3.8,0.0,24211,621
1678,2172,3118,7263,62.8,26.3,18.1,21.2,99.0,0.6,0.4,0.0,0.0,0.0,15239,841
1785,2269,2664,14991,43.8,19.7,39.2,16.9,1.8,0.5,96.4,0.3,0.0,0.0,31094,1335
1452,1377,2129,14394,32.3,6.9,25.2,5.8,3.4,71.3,17.5,0.2,1.3,0.0,35417,977
1653,1479,2174,32453,10.1,38.3,23.6,4.7,48.8,43.3,0.4,6.0,0.0,0.0,45112,1630
2115,2269,3140,23666,15.9,30.2,15.9,10.2,1.1,54.1,43.6,0.0,0.0,0.0,45139,1707
1532,1308,2076,20218,12.8,17.2,18.7,6.0,24.4,63.0,1.6,2.3,6.0,0.0,47148,1260
997,1068,1706,25902,14.5,30.9,20.8,10.4,2.9,85.9,0.2,0.0,8.5,0.0,41328,807
2366,2229,3473,38310,5.0,42.3,12.8,3.4,6.1,90.6,0.9,0.4,0.1,0.0,76356,2598
2281,2505,3445,19400,33.7,28.5,38.3,9.8,1.9,9.9,81.5,1.8,0.0,0.0,22273,1822
2754,2793,4057,55435,1.5,52.7,14.7,6.5,2.6,90.4,3.0,1.8,0.1,0.3,121576,2793
3205,3080,4338,29657,7.8,26.1,12.9,6.8,1.9,96.0,0.2,0.0,0.0,0.0,76109,2940
2880,3305,4442,26292,11.7,28.6,15.9,5.9,6.8,88.1,5.1,0.0,0.0,0.0,64341,2803
2272,2368,3276,26084,20.3,37.1,18.6,3.0,16.7,77.1,1.3,3.7,0.1,0.0,49479,2324
1075,1225,2012,21961,29.0,10.0,22.1,8.4,2.7,97.3,0.0,0.0,0.0,0.0,31053,842
2984,2810,4328,36789,4.5,39.3,15.0,7.1,9.0,50.1,8.3,7.9,14.7,0.7,85182,3174
1107,1214,1734,19232,21.5,17.2,17.9,19.8,14.2,79.1,4.5,0.6,0.5,0.0,34813,820
1652,1441,2398,41794,6.9,56.4,6.9,1.9,25.7,61.0,1.3,9.0,0.0,0.0,74219,1718
2736,2932,3221,25766,24.3,35.5,23.0,7.1,29.1,4.6,63.9,2.2,0.0,0.0,42579,2369
1081,1371,1643,12594,42.7,12.2,28.1,9.0,0.0,0.7,98.3,0.2,0.5,0.0,23417,823
1625,1511,2482,24113,15.8,16.1,15.7,13.2,4.7,94.8,0.0,0.0,0.5,0.0,44777,1136
1460,1666,2476,32400,11.3,36.6,14.2,2.9,8.0,84.1,3.7,1.9,0.0,0.0,59625,1770
856,1025,1500,24574,16.6,31.0,17.6,3.9,0.0,57.7,41.8,0.0,0.0,0.0,38675,706
1340,1025,1454,37608,16.2,71.4,7.3,5.9,12.1,46.6,12.4,19.4,0.0,0.0,45857,1697
3129,2992,3582,14017,29.7,18.1,36.6,13.2,18.2,45.4,31.8,0.0,0.0,0.0,30668,2365
2390,2456,3579,36264,5.0,37.7,14.6,5.6,0.4,96.2,1.9,0.7,0.0,0.0,89571,2703
2292,2612,3301,39571,5.8,52.1,11.6,11.5,46.1,40.1,5.3,5.3,0.0,0.0,115273,2240
1191,1181,1904,32095,5.7,35.5,18.3,4.6,0.5,94.4,3.3,1.8,0.0,0.0,67895,1203
2027,2629,3665,33035,12.4,38.8,21.1,3.1,11.7,80.8,3.4,4.1,0.0,0.0,71648,2785
2337,2621,3322,25726,8.8,37.3,16.5,5.2,7.1,69.4,21.9,0.5,0.0,0.0,51250,2090
4063,4011,4036,30247,17.8,27.1,29.8,3.4,37.9,33.8,16.0,3.7,0.0,0.0,55699,4012
1218,1637,2221,24690,20.4,41.5,24.3,15.9,5.3,86.4,7.7,0.0,0.5,0.0,44191,1364
2442,2594,3760,21094,26.8,28.6,19.5,4.1,1.1,93.3,5.6,0.0,0.0,0.0,34464,1941
1857,2221,2840,24468,11.2,27.6,18.4,7.4,12.8,79.1,0.4,1.9,3.8,0.0,59243,1987
2254,2187,2250,21543,24.5,28.0,28.5,6.3,51.8,10.4,4.2,32.0,0.0,0.0,52344,2083
2154,1679,2544,34296,8.1,39.0,14.2,4.2,49.5,42.4,4.2,2.5,0.3,0.3,90667,1712
2412,2503,3124,32792,9.1,42.1,28.4,5.6,20.3,75.4,0.0,0.4,1.4,0.0,75313,2390
1165,1310,1982,29642,19.6,29.9,20.2,6.2,3.3,95.2,0.8,0.7,0.0,0.0,54970,1239
2050,2244,3180,37749,7.1,36.5,14.5,5.7,10.2,75.5,4.8,5.3,0.0,0.0,65563,2210
2234,2794,3413,13459,32.0,30.3,25.6,14.5,0.0,18.6,79.7,1.6,0.0,0.0,28851,1744
3888,3741,3225,10627,35.5,10.6,16.2,10.7,88.6,7.7,0.3,2.8,0.3,0.0,34742,2637
2791,2900,4154,53664,1.9,57.5,8.9,3.2,6.0,81.8,1.6,8.4,0.0,0.0,129875,3114
664,789,1088,38853,1.8,53.5,10.5,8.7,18.7,72.6,0.0,8.7,0.0,0.0,105987,648
3441,3624,5693,31129,13.6,31.5,25.6,11.9,15.7,30.2,46.0,1.5,0.0,1.0,49591,2593
2098,2446,3572,34142,5.3,33.9,19.7,1.9,5.0,93.8,0.2,0.0,0.2,0.0,66800,2619
1837,1847,2835,30952,7.6,32.4,17.7,3.5,1.6,96.3,0.0,0.7,0.0,0.0,62245,2034
1978,1935,3036,34609,9.3,38.3,17.8,4.3,6.2,91.0,0.1,0.3,0.0,0.0,70529,1908
3281,2439,4176,26277,32.5,41.9,19.2,4.4,14.1,49.3,21.5,12.1,0.2,0.0,35295,2803
1219,1268,1463,19657,17.5,30.1,23.4,7.1,28.8,32.9,29.2,7.4,0.0,0.0,36563,1224
1139,1283,2183,78656,6.5,68.1,11.6,3.3,9.5,72.4,3.3,12.2,0.1,0.9,81438,1397
945,1172,1321,16663,24.5,14.9,28.3,4.6,51.7,44.3,3.9,0.0,0.0,0.0,29901,929
3212,2881,4364,40343,8.4,40.2,14.2,4.2,21.6,72.6,0.0,3.9,0.0,0.0,82349,3136
1975,2347,2777,12905,39.9,13.9,36.4,24.8,0.1,9.4,77.5,0.6,0.1,0.0,26308,1091
1324,1169,1772,48619,0.9,64.0,13.6,2.5,10.4,37.9,17.0,30.8,0.0,0.0,85707,1709
1338,1483,2485,36256,14.5,47.7,16.5,6.2,5.8,77.1,8.8,4.1,0.1,0.0,46995,1956
1336,1177,1865,38059,3.8,43.8,13.7,4.8,9.3,68.6,1.3,14.4,0.0,0.0,122930,1360
1840,2047,2914,31991,8.5,50.7,17.9,2.3,5.5,90.4,0.5,1.8,0.6,0.0,64688,1844
1892,1885,2971,22318,14.2,29.9,15.6,6.8,1.2,97.2,0.0,0.0,0.0,0.0,36916,1466
4108,4300,3860,16322,22.3,15.3,21.2,9.4,85.5,10.5,1.5,1.3,0.0,0.4,52604,3601
872,826,1361,27114,11.6,33.7,17.3,5.7,0.4,96.2,0.0,0.0,0.0,0.0,55726,738
1459,2334,2259,9128,58.8,17.5,31.6,25.5,0.0,0.3,99.4,0.0,0.0,0.0,13200,1010
2308,2659,3955,43468,5.3,45.2,13.4,4.3,10.5,81.5,1.9,5.0,0.0,0.0,97406,2770
1852,2622,3905,25431,12.6,39.9,13.9,11.7,10.0,84.8,4.1,0.4,0.0,0.2,29651,1744
1197,1313,2186,61397,3.0,50.7,16.8,8.6,2.8,91.8,2.2,0.5,0.3,0.0,65821,972
3447,3712,5191,25013,16.3,39.1,13.5,5.6,1.1,90.2,1.0,0.3,0.6,0.0,56991,3134
3734,3982,6162,32401,4.7,49.5,6.7,2.6,5.4,78.7,10.6,0.0,0.3,0.0,63941,3042
3621,3992,4926,24854,7.8,27.4,20.1,3.0,20.8,65.9,2.4,2.4,1.7,0.1,53361,3095
2588,1560,3907,46078,14.9,63.8,14.0,1.7,11.3,65.3,16.9,1.6,1.4,0.0,64366,2222
1454,2384,3198,20036,19.6,25.9,17.3,4.9,1.9,91.3,5.8,0.0,0.0,0.2,52974,1441
2342,3008,4207,33003,12.8,49.8,10.6,7.9,4.1,86.4,1.6,3.9,1.5,0.2,72000,2669
1295,1403,1985,63946,0.6,59.8,8.1,7.3,1.9,81.5,9.8,2.4,0.0,0.0,170962,1314
2563,2405,3695,26476,9.4,45.9,8.2,5.1,6.0,74.5,5.9,8.8,0.4,0.0,60000,2495
2134,2223,3153,21185,16.5,35.5,21.8,17.3,2.3,47.6,43.8,3.4,0.0,0.0,39476,1687
1803,1717,2435,25664,28.4,25.2,30.9,6.6,40.1,49.9,1.5,2.4,2.1,0.5,26690,1612
2143,2295,2950,22240,16.3,24.2,8.1,5.7,16.0,75.8,7.3,0.1,0.0,0.0,45686,1986
861,1114,1430,38057,10.2,38.2,16.6,6.0,20.4,25.2,43.9,3.7,0.0,0.0,53974,1109
3105,4458,5900,94506,10.1,81.0,5.7,2.9,12.7,65.6,9.6,8.4,0.0,0.0,113300,5463
5562,6862,8240,40493,7.0,53.9,12.2,4.4,8.9,60.3,26.2,2.3,0.2,0.0,106077,6218
3424,3633,5345,24305,18.1,26.7,19.1,7.4,0.0,84.4,11.3,0.4,0.0,0.3,51380,3489
1866,1774,2787,20492,28.6,26.7,21.2,10.9,1.5,88.4,4.1,0.0,0.6,0.0,22102,1271
3041,3776,5300,48890,5.0,50.4,12.1,4.5,1.6,94.3,0.5,1.1,0.0,0.0,90826,3526
