Men,Women,VotingAgeCitizen,IncomePerCap,Poverty,Professional,Service,Unemployment,Hispanic,White,Black,Asian,Native,Pacific,Income,Employed
1710,1835,2761,20584,40.4,26.2,39.8,8.3,9.1,66.8,18.2,1.1,1.3,0.0,25701,1726
3593,3008,4561,20249,9.5,44.2,22.4,10.0,23.8,50.3,15.1,4.0,0.4,1.2,46925,1239
2506,2585,4037,27409,14.8,33.5,21.4,5.1,3.0,92.2,1.0,0.9,0.6,0.0,42363,2266
1905,2207,3008,26340,20.3,25.2,20.1,4.7,4.4,94.6,1.0,0.0,0.0,0.0,54079,1790
1378,1405,2211,24894,9.8,23.7,19.5,6.0,3.6,95.8,0.0,0.0,0.0,0.0,53150,1310
4065,4568,6475,46759,5.4,54.8,12.5,5.5,1.1,92.1,0.4,3.2,0.0,0.0,88151,3879
4069,4150,4584,21018,13.7,25.9,17.7,7.3,65.6,14.9,11.2,7.1,0.0,0.0,55750,4116
2834,3702,5093,23407,26.8,32.9,28.2,12.2,4.3,23.6,69.1,0.0,0.0,0.0,32306,2648
1958,2530,3242,21429,22.2,30.2,19.6,9.5,5.0,51.2,42.9,0.4,0.0,0.0,29153,1822
1790,1631,1681,14612,47.9,13.2,26.2,11.9,41.7,15.5,10.2,27.5,0.9,0.1,27308,1158
2074,1958,2747,34110,4.1,44.8,11.4,4.4,6.5,88.4,3.2,0.4,0.0,0.0,96474,1921
1774,1857,2625,46120,1.4,47.6,10.9,2.5,7.7,83.0,5.8,1.3,0.0,0.0,111417,1997
1040,1109,1958,111674,3.4,54.4,2.6,1.5,4.0,92.8,0.3,2.6,0.0,0.0,129485,664
2850,3633,5171,19854,28.9,22.5,27.1,6.6,8.7,82.8,0.0,0.7,1.1,1.7,34017,3349
1710,1576,2421,26773,8.1,26.9,18.7,6.4,58.8,30.4,1.1,7.1,0.5,0.3,77375,1655
2246,2014,3093,42177,9.0,52.6,18.4,5.6,28.1,57.3,1.4,9.5,0.0,0.0,80194,2746
1296,1332,1827,48253,8.7,66.5,14.4,1.5,13.1,81.3,3.5,1.0,0.4,0.0,102868,1337
1737,1976,2536,33567,7.5,39.2,23.9,5.6,23.7,56.0,0.3,17.7,0.0,0.0,82167,1803
2575,2716,3851,27050,6.3,27.3,22.1,2.7,10.5,66.4,18.0,3.2,0.0,0.0,49125,3299
3311,3352,5220,36435,9.3,37.1,11.1,3.6,3.0,89.2,2.5,4.4,0.0,0.0,67553,3653
3164,3083,2884,9095,51.5,8.0,18.8,22.5,79.2,5.6,7.3,7.4,0.3,0.0,28318,1628
1350,1646,1546,16964,26.6,14.2,35.3,9.0,67.0,3.5,21.1,2.3,0.0,0.0,41703,1136
866,963,1296,59200,11.6,67.6,9.9,6.4,2.5,48.6,39.5,3.7,0.0,0.0,82159,992
2251,2441,3011,23313,17.2,18.7,23.9,5.2,33.7,62.5,0.6,2.0,0.0,0.0,48438,2091
2420,2351,2940,25512,15.8,22.6,17.9,8.8,26.6,60.1,6.0,4.0,1.5,0.0,60977,2225
1827,2182,3065,34696,6.0,45.6,17.3,4.7,7.2,69.7,19.1,1.6,0.0,0.0,79005,2139
